,temp,humidity,dew,wind,rain,solar_rad,pressure
6/13/2000,29.78,26.17,4.65,2.66,0,28.17,96.32
6/14/2000,30.48,30.25,7.65,2.7,0,30.29,96.33
6/15/2000,30.62,34.23,10.39,2.63,0.05,30.72,96.27
6/16/2000,29.62,32.43,7.95,2.96,0,30.41,96.27
6/17/2000,29.44,29.62,5.87,3.27,0,29.95,96.42
6/18/2000,28.84,31.59,6.75,2.18,0,25.85,96.71
6/19/2000,28.05,35.35,9.36,2.73,0,26.83,96.7
6/20/2000,25.75,44.62,11.63,3.15,0,24.62,96.69
6/21/2000,25.91,42.65,8.8,3.13,0,31.14,96.79
6/22/2000,25.7,47.11,10.66,3.81,0,31.82,96.8
6/23/2000,25.63,52.36,13.37,4.03,0,31.39,96.61
6/24/2000,24.56,53.87,12.97,4.17,0,29.71,96.22
6/25/2000,24.05,51.94,11.79,3.98,0,30.08,96.2
6/26/2000,24.89,46.56,10.7,3.42,0,29.58,96.55
6/27/2000,28.96,38.41,10.72,2.42,0,27.76,96.73
6/28/2000,29.38,35.62,10.86,3.14,0,28.39,96.7
6/29/2000,29.99,33.61,9.91,3.07,0,30.41,96.51
6/30/2000,29.99,35.6,11.02,3.33,0,29.92,96.31
7/1/2000,29.75,41.06,12.99,3.83,0,28.37,96.13
7/2/2000,28.03,43.98,13.32,3.53,0,27.62,96.33
7/3/2000,26.36,45.69,11.91,3.51,0,29.97,96.45
7/4/2000,25.45,47.27,11.55,4.41,0,30.14,96.27
7/5/2000,27.36,42.82,10.8,3.64,0,30.46,96.11
7/6/2000,32.52,26.35,5.96,2.41,0,27.94,96.19
7/7/2000,33.76,26.53,9.51,3.22,0,24.53,96.37
7/8/2000,28.37,41.04,11.9,3.06,0,30.63,96.59
7/9/2000,26.28,45.06,11.75,3.12,0,29.62,96.52
7/10/2000,24.08,48.42,9.76,4,0,29.11,96.35
7/11/2000,23.92,50.61,11.27,4.78,0,30.24,96.11
7/12/2000,25.87,42.3,9.3,3.49,0,30.94,96.15
7/13/2000,28.16,35.89,9.01,2.44,0,31.04,96.46
7/14/2000,28.46,36.83,9.17,2.59,0,30.83,96.39
7/15/2000,29.65,34.91,9.71,3.06,0,30.28,95.93
7/16/2000,29.41,35.64,10.42,2.88,0,30.07,95.72
7/17/2000,27.3,45.9,11.98,3.01,0.05,29.93,96.17
7/18/2000,26.72,44.39,11.17,2.89,0,30.15,96.5
7/19/2000,26.93,43.18,10.73,2.83,0,30.15,96.37
7/20/2000,29.98,32.75,6.82,2.13,0,29.5,96.17
7/21/2000,32.19,26.18,6.67,2.73,0,28.44,96.23
7/22/2000,28.22,45.53,13.95,3.77,0,25.56,96.32
7/23/2000,25.78,48.98,12.63,3.73,0,28.53,96.39
7/24/2000,26.01,42.91,9.88,3.85,0,29.23,96.34
7/25/2000,26.36,44.83,10.84,3.63,0,29.15,96.19
7/26/2000,28.22,47.52,13.61,3.47,0,28.26,96.21
7/27/2000,29.31,42.22,13.24,3.43,0,26.85,96.44
7/28/2000,30.29,35.53,10.98,3.74,0,27.74,96.47
7/29/2000,31.68,32.99,10.37,3.5,0,28.28,96.24
7/30/2000,36.48,15.91,3.78,2.75,0.48,22.74,96.22
7/31/2000,36.78,16.88,6.73,3.53,0.73,21.86,96.4
8/1/2000,36.22,20.14,8.38,3.43,0.2,23.23,96.54
8/2/2000,35.72,23.62,10.3,2.17,0,27.42,96.65
8/3/2000,31.34,37.1,13.52,3.79,0,28.02,96.78
8/4/2000,29.03,35.46,10.38,3.45,0,24.89,96.62
8/5/2000,27.03,44.55,10.92,3,0,29.55,96.41
8/6/2000,27.45,46.06,12.87,2.94,0.06,28.96,96.24
8/7/2000,30.64,36.4,11.26,2.68,0,28.21,96.08
